title,price,year,mileage,brand,condition,bids,seller_score,reviews_count,link_type,status
New Listing2018 Sentra SV 4DR SEDAN,10995.0,2018,65411,Nissan,Pre-Owned,,100%,1600,,Active
2018 Honda Accord EX-L,17800.0,2018,85163,Honda,Pre-Owned,,100%,12,,Active
New Listing2026 Honda Civic Sport Touring,33945.0,2026,2,Honda,Brand New,,97.4%,304,,Active
New Listing2026 Honda Civic Sport Touring,33945.0,2026,0,Honda,Brand New,,97.4%,304,,Active
New Listing2018 300 Series S 4DR SEDAN,11995.0,2018,132103,Chrysler,Pre-Owned,,100%,1600,,Active
2007 LEXUS AWD AWD,11999.0,2007,56477,Lexus,Pre-Owned,,100%,915,,Active
2017 Nissan Versa S,3500.0,2017,178776,Nissan,Pre-Owned,,100%,1200,,Active
2015 Volkswagen Passat 2.0L TDI SE 4dr Sedan 6A w/Sunroof and Navigation,7995.0,2015,121042,Volkswagen,Pre-Owned,,100%,638,,Sold
2015 Subaru Impreza WRX,17595.0,2015,73728,Subaru,Pre-Owned,,100%,703,,Active
1940 Oldsmobile Series 70,22500.0,1940,90598,Oldsmobile,Pre-Owned,,98.8%,629,,Active
1998 Ford Crown Victoria LX,12950.0,1998,35699,Ford,Pre-Owned,,100%,649,,Active
New Listing2014 Lincoln MKZ/Zephyr,8800.0,2014,93992,Lincoln,Pre-Owned,,100%,12,,Active
2014 Volkswagen Passat 2.0L TDI SE,7800.0,2014,126876,Volkswagen,Pre-Owned,,95.7%,968,,Active
2018 Chevrolet Cruze LS Sedan 4D,8995.0,2018,52237,Chevrolet,Pre-Owned,,100%,1600,,Active
New Listing2008 Lexus IS250 250 Sport,8495.0,2008,97264,Lexus,Pre-Owned,,0%,0,,Active
2014 Aston Martin Rapide,45595.0,2014,45364,ASTON MARTIN,Pre-Owned,,100%,703,,Active
2023 Camry SE 4DR SEDAN,20995.0,2023,56547,Toyota,Pre-Owned,,100%,1600,,Active
2018 Audi A6 Sport,16650.0,2018,50897,Audi,Pre-Owned,,100%,468,,Active
2008 BMW 535xi 535xi,5495.0,2008,142284,BMW,Pre-Owned,,0%,0,,Active
2018 Hyundai Sonata SE,9995.0,2018,122376,Hyundai,Pre-Owned,,0%,0,,Active
2011 Acura TSX Base,7495.0,2011,136492,Acura,Pre-Owned,,0%,0,,Active
1979 Dodge Magnum,17000.0,1979,60545,Dodge,Pre-Owned,,98.8%,629,,Active
2017 INFINITI Q50 3.0t Sport,16480.0,2017,76967,Infiniti,Pre-Owned,,0%,0,,Active
2025 Honda Civic Sport,23995.0,2025,33108,Honda,Pre-Owned,,100%,649,,Active
New Listing2025 Hyundai Sonata SEL,23600.0,2025,3002,Hyundai,Pre-Owned,,97.4%,304,,Active
2008 Honda Accord EX,8999.0,2008,98876,Honda,Pre-Owned,,0%,0,,Active
2007 Mercedes-Benz S-Class S 550 Sedan 4D,13985.0,2007,57322,Mercedes-Benz,Pre-Owned,,99.8%,1400,,Active
2020 Audi S8 4.0 TFSI,39900.0,2020,85928,Audi,Pre-Owned,,100%,1100,,Active
2021 Toyota Corolla LE,10999.0,2021,115189,Toyota,Pre-Owned,,0%,0,,Active
2018 Chrysler 300 Series Hellcat Swapped 800HP,39995.0,2018,60345,Chrysler,Pre-Owned,,100%,3800,,Active
2019 BMW 5-Series 530i,18950.0,2019,56030,BMW,Pre-Owned,,100%,468,,Active
2018 Honda Civic Si,14900.0,2018,98456,Honda,Pre-Owned,,0%,0,,Active
2014 Ford Fusion SE,8350.0,2014,175802,Ford,Pre-Owned,,100%,36,,Active
New Listing2023 Honda Civic EX,24000.0,2023,16793,Honda,Pre-Owned,,97.4%,304,,Active
2019 Audi A8 Quattro L 3.0T,22995.0,2019,75588,Audi,Pre-Owned,,0%,0,,Active
2022 Toyota Corolla LE,15900.0,2022,42749,Toyota,Pre-Owned,,0%,0,,Active
New Listing2020 Acura ILX,19500.0,2020,35136,Acura,Pre-Owned,,97.4%,304,,Active
2007 Toyota Corolla CE,4500.0,2007,127200,Toyota,Pre-Owned,,100%,1200,,Active
2019 Forte LXS 4DR SEDAN,6999.0,2019,105404,Kia,Pre-Owned,,100%,1600,,Active
New Listing2023 Honda Accord EX,23500.0,2023,8948,Honda,Pre-Owned,,97.4%,304,,Active
1939 Lincoln MKZ/Zephyr,27000.0,1939,51017,Lincoln,Pre-Owned,,98.8%,629,,Active
2011 Ford Fusion Sport,3995.0,2011,141450,Ford,Pre-Owned,,0%,0,,Active
2015 BMW 4-Series 428i xDrive Gran Coupe AWD 4dr Sedan,11995.0,2015,102677,BMW,Pre-Owned,,100%,1700,,Active
New Listing2017 Hyundai Sonata,11000.0,2017,39074,Hyundai,Pre-Owned,,97.4%,304,,Active
2018 Subaru Legacy 2.5i,11999.0,2018,92136,Subaru,Pre-Owned,,0%,0,,Active
2026 Honda Civic Sedan Sport Hybrid Sport Touring,33900.0,2026,5,Honda,Brand New,,0%,0,,Active
New Listing2023 Nissan Versa SV,13677.0,2023,48254,Nissan,Pre-Owned,,0%,0,,Active
2011 BMW 7-Series V8 Twin Turbo,9995.0,2011,114000,BMW,Pre-Owned,,100%,1000,,Active
New Listing2022 Chevrolet Malibu LT,12900.0,2022,49929,Chevrolet,Pre-Owned,,0%,0,,Active
New Listing2022 Chevrolet Malibu LT,12900.0,2022,62910,Chevrolet,Pre-Owned,,0%,0,,Active
2013 Toyota Corolla,10900.0,2013,66770,Toyota,Pre-Owned,,100%,1200,,Active
2012 Ford Taurus SEL,3500.0,2012,153843,Ford,Pre-Owned,,100%,1200,,Active
New Listing1950 Plymouth Deluxe,19900.0,1950,0,Plymouth,Pre-Owned,,99.3%,961,,Active
2025 Toyota Camry SE AWD,29997.0,2025,21582,Toyota,Pre-Owned,,100%,1800,,Active
New Listing2022 Chevrolet Malibu LT,13500.0,2022,40150,Chevrolet,Pre-Owned,,0%,0,,Active
2019 BMW 540i xDrive 540i xDrive,18995.0,2019,86154,BMW,Pre-Owned,,0%,0,,Active
New Listing2024 Toyota Corolla LE,19200.0,2024,29328,Toyota,Pre-Owned,,100%,649,,Active
2016 Ford Taurus Police AWD,9795.0,2016,98102,Ford,Pre-Owned,,100%,123,,Active
1995 Chevrolet Impala SS Sedan 4D,17500.0,1995,99086,Chevrolet,Pre-Owned,,100%,28,,Active
New Listing2025 Toyota Corolla LE,25703.0,2025,2,Toyota,Brand New,,97.4%,304,,Active
2020 Mercedes-Benz C-Class C300,19795.0,2020,57746,Mercedes-Benz,Pre-Owned,,100%,468,,Active
2008 Buick Lacrosse CX,6800.0,2008,74839,Buick,Pre-Owned,,95.7%,968,,Active
2019 Corolla LE 4DR SEDAN,11995.0,2019,109690,Toyota,Pre-Owned,,100%,1600,,Active
2011 Toyota Camry XLE,8891.0,2011,157308,Toyota,Pre-Owned,,0%,0,,Active
2012 Honda Civic LX,8495.0,2012,90026,Honda,Pre-Owned,,0%,0,,Active
2014 Volkswagen Passat 2.0L TDI SEL Premium,8800.0,2014,137056,Volkswagen,Pre-Owned,,100%,12,,Active
New Listing2024 Mercedes-Benz Eqe Sedan 350 Sedan,61999.0,2024,421,Mercedes-Benz,Pre-Owned,,0%,0,,Active
2006 Buick Lucerne CXS,2995.0,2006,101190,Buick,Pre-Owned,,100%,1600,,Active
2012 Passat S 4DR SEDAN,7495.0,2012,79613,Volkswagen,Pre-Owned,,100%,1600,,Active
2010 BMW 5-Series 550i,11800.0,2010,84444,BMW,Pre-Owned,,100%,506,,Active
1961 Ford Galaxie Starliner,40000.0,1961,8939,Ford,Pre-Owned,,98.8%,629,,Active
2006 Buick Lacrosse CX 4dr Sedan,5995.0,2006,65418,Buick,Pre-Owned,,99.3%,1100,,Active
2016 Audi A8 Quattro L 4.0T Sport,16995.0,2016,117952,Audi,Pre-Owned,,0%,0,,Active
1996 Chevrolet Caprice,15900.0,1996,90100,Chevrolet,Pre-Owned,,100%,546,,Active
2015 Nissan Altima,3900.0,2015,129337,Nissan,Pre-Owned,,90.9%,12500,,Active
New Listing2025 Toyota Corolla LE,23919.0,2025,0,Toyota,Brand New,,97.4%,304,,Active
New Listing2011 Mazda Mazda3 s Grand Touring 4dr Sedan 5A,9995.0,2011,63165,Mazda,Pre-Owned,,99.3%,1100,,Active
2014 Ford Taurus Police FWD,7995.0,2014,86031,Ford,Pre-Owned,,100%,123,,Active
2007 Audi A6 Quattro,4999.0,2007,84094,Audi,Pre-Owned,,100%,915,,Active
2005 Infiniti Q45 Base 4dr Sedan,9750.0,2005,97878,Infiniti,Pre-Owned,,100%,638,,Sold
2013 INFINITI G37 G37 Journey Sedan 4D,8000.0,2013,140130,Infiniti,Pre-Owned,,100%,267,,Active
2015 300 Series Limited 4DR SEDAN,11995.0,2015,98591,Chrysler,Pre-Owned,,100%,1600,,Active
New Listing1961 Bentley S2 Saloon,79995.0,1961,83436,Bentley,Pre-Owned,,100%,806,,Active
New Listing2026 Hyundai Elantra SE,24510.0,2026,2,Hyundai,Brand New,,97.4%,304,,Active
2019 Audi A8,27480.0,2019,79038,Audi,Pre-Owned,,100%,1000,,Active
2014 Ford Focus SE Sedan 4D,4500.0,2014,146492,Ford,Pre-Owned,,100%,771,,Active
2019 Kia Optima EX,16480.0,2019,39168,Kia,Pre-Owned,,100%,338,,Active
2017 Dodge Charger AWD 5.7L V8 HEMI Police,10795.0,2017,119355,Dodge,Pre-Owned,,100%,123,,Active
2014 Dodge Avenger SE,3600.0,2014,158205,Dodge,Pre-Owned,,100%,1200,,Active
2022 BMW 2-Series 228i xDrive Gran Coupe AWD 4dr Sedan,24995.0,2022,39000,BMW,Pre-Owned,,100%,1700,,Active
2007 Lincoln Town Car Executive w/Limousine Pkg,4999.0,2007,113025,Lincoln,Pre-Owned,,100%,2300,,Active
1990 Ford Crown Victoria Country Squire Wagon,16500.0,1990,79327,Ford,Pre-Owned,,98.8%,629,,Active
2012 Legacy 2.5i Limited AWD 4DR SEDAN,7995.0,2012,103957,Subaru,Pre-Owned,,100%,1600,,Active
New Listing2023 Honda Civic Touring,24000.0,2023,19916,Honda,Pre-Owned,,97.4%,304,,Active
2007 Honda Accord LX,2495.0,2007,222569,Honda,Pre-Owned,,0%,0,,Active
2008 Chevrolet Impala LT,8395.0,2008,36619,Chevrolet,Pre-Owned,,100%,26,,Active
2016 Rolls-Royce Ghost Series II Sedan 4D,94999.0,2016,59539,Rolls-Royce,Pre-Owned,,99.8%,1400,,Active
2015 Ford Taurus Police AWD,6795.0,2015,143227,Ford,Pre-Owned,,100%,123,,Active
2012 Buick Verano Leather FWD,5995.0,2012,81594,Buick,Pre-Owned,,100%,468,,Active
2010 BMW 535i I 4DR,12500.0,2010,119615,BMW,Pre-Owned,,100%,646,,Active
2019 Volvo S90 T8 Inscription Sedan 4D,25985.0,2019,64370,Volvo,Pre-Owned,,99.8%,1400,,Active
2020 Tesla Model S Long Range Plus,29999.0,2020,67549,Tesla,Pre-Owned,,0%,7,,Active
2019 Honda Civic EX,16499.0,2019,85895,Honda,Pre-Owned,,0%,0,,Active
1940 Packard 160,46000.0,1940,13063,Packard,Pre-Owned,,98.8%,629,,Active
1926 Chrysler Imperial,23000.0,1926,65830,Chrysler,Pre-Owned,,98.8%,629,,Active
2015 Honda Accord EX-L,10495.0,2015,126092,Honda,Pre-Owned,,0%,0,,Active
2013 Honda Civic EX-L,7995.0,2013,123890,Honda,Pre-Owned,,0%,0,,Active
2004 Mercury Marauder,23000.0,2004,107322,Mercury,Pre-Owned,,98.8%,629,,Active
2011 FORD Fusion SEL,6800.0,2011,84758,Ford,Pre-Owned,,100%,915,,Active
2016 BMW 5 Series 535i,14997.0,2016,93872,BMW,Pre-Owned,,100%,1800,,Active
2014 Mercedes-Benz C-Class,5800.0,2014,97767,Mercedes-Benz,Pre-Owned,,90.9%,12500,,Active
2006 BMW M5,25999.0,2006,63215,BMW,Pre-Owned,,0%,266,,Active
2005 Mitsubishi Lancer Evolution VIII,20995.0,2005,172102,Mitsubishi,Pre-Owned,,100%,703,,Active
2019 Porsche Panamera 4,47999.0,2019,55071,Porsche,Pre-Owned,,100%,5,,Active
2017 Mazda 3 Touring,6499.0,2017,119895,Mazda,Pre-Owned,,0%,0,,Active
2006 DTS 2006 LEATHER WOOD CRUISE PWR SEATS 89K MLS,6995.0,2006,89837,Cadillac,Pre-Owned,,100%,473,,Active
2014 Volkswagen Jetta S 4dr Sedan 6A,8999.0,2014,36728,Volkswagen,Pre-Owned,,100%,638,,Sold
1975 Ford Granada,8500.0,1975,79000,Ford,Pre-Owned,,100%,41,,Active
2015 Chevrolet Cruze LS,6500.0,2015,68024,Chevrolet,Pre-Owned,,100%,1200,,Active
2016 BMW 3-Series 340I M SPORT,15900.0,2016,139519,BMW,Pre-Owned,,100%,1200,,Active
2018 Ford Taurus Police AWD,8795.0,2018,113491,Ford,Pre-Owned,,100%,123,,Active
2003 Audi RS6 quattro AWD Only 65K 450HP TWIN TURBO Leather Moon,19995.0,2003,65860,Audi,Pre-Owned,,100%,1000,,Active
2012 Honda Accord EX-L Sedan 4D,8500.0,2012,160508,Honda,Pre-Owned,,100%,267,,Active
2013 Hyundai Sonata HYBRID,2900.0,2013,164026,Hyundai,Pre-Owned,,100%,1200,,Active
1995 Honda Accord EX Sedan 4D,10995.0,1995,70110,Honda,Pre-Owned,,0%,88,,Active
2012 Hyundai Genesis 3.8L,2200.0,2012,245296,Hyundai,Pre-Owned,,100%,1200,,Active
2014 Honda Civic LX,9999.0,2014,107962,Honda,Pre-Owned,,0%,0,,Active
2013 Mercedes-Benz C-Class C 300 Sport 4MATIC AWD 4dr Sedan,9999.0,2013,60439,Mercedes-Benz,Pre-Owned,,100%,638,,Sold
2014 Mercedes-Benz S-Class S 550 Sedan 4D,25999.0,2014,25575,Mercedes-Benz,Pre-Owned,,99.8%,1400,,Active
1989 Lincoln Town Car Signature,24900.0,1989,39825,Lincoln,Pre-Owned,,97.6%,229,,Active
2014 Fusion SE 4DR SEDAN,8995.0,2014,79737,Ford,Pre-Owned,,100%,1600,,Active
New Listing2024 Toyota Corolla LE,19450.0,2024,37635,Toyota,Pre-Owned,,100%,649,,Active
New Listing2025 Toyota Corolla LE,20250.0,2025,16603,Toyota,Pre-Owned,,100%,649,,Active
2007 Volkswagen Jetta Wolfsburg Salvage Rebuildable Repairable,2050.0,2007,119354,Volkswagen,Pre-Owned,,100%,1100,,Active
2024 Toyota Crown Limited,30950.0,2024,48076,Toyota,Pre-Owned,,0%,0,,Active
2012 Volkswagen Passat SE 4dr Sedan 6A,8995.0,2012,59728,Volkswagen,Pre-Owned,,99.3%,1100,,Active
2016 Lexus ES300h 300h,20500.0,2016,58582,Lexus,Pre-Owned,,0%,0,,Active
2020 Audi S6 PremiumPlus,32995.0,2020,41641,Audi,Pre-Owned,,0%,0,,Active
2012 Mercedes-Benz S-Class S63,15795.0,2012,116035,Mercedes-Benz,Pre-Owned,,100%,468,,Active
2005 Toyota Corolla CE,6795.0,2005,97053,Toyota,Pre-Owned,,100%,26,,Active
2001 Mercedes-Benz S-Class S600,6900.0,2001,48123,Mercedes-Benz,Pre-Owned,,100%,1200,,Active
2008 Lexus LS 460,7800.0,2008,124673,Lexus,Pre-Owned,,100%,1200,,Active
1953 Kaiser Manhattan,9900.0,1953,14740,Kaiser,Pre-Owned,,97.6%,229,,Active
2018 BMW 6-Series Alpina B6 Gran Coupe xDrive 4D,42985.0,2018,36778,BMW,Pre-Owned,,99.8%,1400,,Active
2022 Honda Civic Sport,17995.0,2022,60512,Honda,Pre-Owned,,0%,0,,Active
New Listing2019 Honda Accord Sport,20988.0,2019,71908,Honda,Pre-Owned,,0%,141,,Active
2017 Hyundai Elantra SE,5499.0,2017,134610,Hyundai,Pre-Owned,,0%,0,,Active
2011 Ford Taurus SHO,4500.0,2011,97169,Ford,Pre-Owned,,90.9%,12500,,Active
2014 Cadillac ATS Base,10999.0,2014,54755,Cadillac,Pre-Owned,,0%,0,,Active
2005 Dodge Neon SXT Sedan 4D,9995.0,2005,19101,Dodge,Pre-Owned,,0%,398,,Active
New Listing2019 Toyota Camry SE,22500.0,2019,29057,Toyota,Pre-Owned,,97.4%,304,,Active
2011 Nissan Maxima 3.5 SV 4dr Sedan,9995.0,2011,76894,Nissan,Pre-Owned,,99.3%,1100,,Active
2014 BMW 750LI 750 V8 Turbo,9995.0,2014,142000,BMW,Pre-Owned,,100%,1000,,Active
2021 Nissan Altima 2.5 SR,8800.0,2021,221125,Nissan,Pre-Owned,,100%,649,,Active
2005 Civic Hybrid Sedan 1.3L 5 Speed Manual 45 MPG,5495.0,2005,142657,Honda,Pre-Owned,,100%,1000,,Active
2002 Infiniti Q45 Base 4dr Sedan,10995.0,2002,48449,Infiniti,Pre-Owned,,99.3%,1100,,Active
New Listing2026 Toyota Crown XLE,43864.0,2026,2,Toyota,Brand New,,97.4%,304,,Active
2021 Toyota Camry SE Sedan 4D,18995.0,2021,37621,Toyota,Pre-Owned,,100%,1600,,Active
2018 Volvo S90 T6 Momentum,16985.0,2018,90097,Volvo,Pre-Owned,,0%,0,,Active
2014 Acura RLX TECH,7500.0,2014,146629,Acura,Pre-Owned,,100%,1200,,Active
2020 Kia Stinger GT1 AWD 4dr Sedan,19999.0,2020,77943,Kia,Pre-Owned,,100%,1200,,Active
New Listing2020 Mercedes-Benz S-Class S 560 Sedan 4D,43585.0,2020,32557,Mercedes-Benz,Pre-Owned,,99.8%,1400,,Active
2006 Lincoln Zephyr Sedan 4D,3500.0,2006,137240,Lincoln,Pre-Owned,,100%,267,,Active
2017 Audi S3 2.0 TFSI Premium Plus,25936.0,2017,63500,Audi,Pre-Owned,,100%,1,,Active
2020 Audi A6 Premium,21895.0,2020,52309,Audi,Pre-Owned,,100%,468,,Active
New Listing2017 Subaru WRX STi,24595.0,2017,65519,Subaru,Pre-Owned,,100%,703,,Active
New Listing1929 REO Flying Cloud,31000.0,1929,72238,REO,Pre-Owned,,98.8%,629,,Active
2018 Hyundai Elantra SEL,6499.0,2018,129303,Hyundai,Pre-Owned,,0%,0,,Active
2022 Kia Stinger GT2 Sedan 4D,28995.0,2022,23152,Kia,Pre-Owned,,100%,1600,,Active
1961 Chevrolet Bel Air/150/210 4-Door Sedan,14000.0,1961,36162,Chevrolet,Pre-Owned,,0%,266,,Active
2009 Lexus IS250 250 Sport,4995.0,2009,182703,Lexus,Pre-Owned,,0%,0,,Active
2011 Accord LX 119k **PINK ** Wide Body Show Car,11495.0,2011,119542,Honda,Pre-Owned,,100%,1000,,Active
2016 Honda Civic LX,8995.0,2016,154900,Honda,Pre-Owned,,0%,0,,Active
2016 Audi A6 Premium Plus,15259.0,2016,48459,Audi,Pre-Owned,,100%,468,,Active
New Listing2026 Hyundai Sonata SEL,34100.0,2026,2,Hyundai,Brand New,,97.4%,304,,Active
2016 Ford Fusion SE,4863.0,2016,290757,Ford,Pre-Owned,,100%,418,,Active
2017 Impala Premier 4DR SEDAN,15995.0,2017,75316,Chevrolet,Pre-Owned,,100%,1600,,Active
2013 Ford Fusion SE 4dr Sedan,9995.0,2013,59584,Ford,Pre-Owned,,99.3%,1100,,Active
2014 Hyundai Elantra Sport,4495.0,2014,148375,Hyundai,Pre-Owned,,0%,0,,Active
2011 Toyota Camry SE,6500.0,2011,148762,Toyota,Pre-Owned,,100%,1200,,Active
2010 Buick Lacrosse CXL 4dr Sedan,9999.0,2010,62298,Buick,Pre-Owned,,99.3%,1100,,Active
1997 Ford Taurus GL,13800.0,1997,81661,Ford,Pre-Owned,,95.7%,968,,Active
1950 Mercury Eight Sedan,17900.0,1950,91856,Mercury,Pre-Owned,,97.6%,229,,Active
New Listing2024 Honda Accord EX,23700.0,2024,13509,Honda,Pre-Owned,,97.4%,304,,Active
2011 Toyota Camry XLE,8995.0,2011,80695,Toyota,Pre-Owned,,0%,0,,Active
1997 Toyota Camry CE,2900.0,1997,229307,Toyota,Pre-Owned,,100%,1200,,Active
2013 Audi A6 2.0T Quattro AWD Salvage Rebuildable,4995.0,2013,95524,Audi,Pre-Owned,,100%,1100,,Active
2010 Accord EX-L 4DR SEDAN,6995.0,2010,165656,Honda,Pre-Owned,,100%,1600,,Active
2014 Cadillac CTS LUXURY COLLECTION,6900.0,2014,115594,Cadillac,Pre-Owned,,100%,1200,,Active
2021 Audi A6 Premium 45 Tfsi,18995.0,2021,92875,Audi,Pre-Owned,,100%,468,,Active
2015 Hyundai Sonata Limited 2.0T Sedan 4D,11585.0,2015,61162,Hyundai,Pre-Owned,,100%,646,,Active
New Listing2019 Subaru WRX STI STI Limited AWD 4dr Sedan w/ Wing Spoiler,25999.0,2019,74815,Subaru,Pre-Owned,,100%,1200,,Active
1955 Ford Fairlane Sedan,14750.0,1955,0,Ford,Pre-Owned,,100%,712,,Active
2025 Honda Accord LX,28445.0,2025,2,Honda,Brand New,,97.4%,304,,Active
2018 Nissan Maxima SV Sedan 4D,15495.0,2018,59766,Nissan,Pre-Owned,,100%,1600,,Active
2007 Lexus LS 460,5500.0,2007,156394,Lexus,Pre-Owned,,100%,1200,,Active
2022 Honda Civic Sport,18927.0,2022,61645,Honda,Pre-Owned,,0%,0,,Active
New Listing2025 Hyundai IONIQ 6 SEL,50636.0,2025,2,Hyundai,Brand New,,97.4%,304,,Active
New Listing2024 Honda Accord EX,25000.0,2024,15709,Honda,Pre-Owned,,97.4%,304,,Active
2007 CHEVROLET Impala LT,6800.0,2007,67631,Chevrolet,Pre-Owned,,100%,915,,Active
2011 Cruze LT Fleet 4DR SEDAN,5995.0,2011,110000,Chevrolet,Pre-Owned,,100%,1600,,Active
2017 Honda Civic EX-T,13900.0,2017,92009,Honda,Pre-Owned,,0%,0,,Active
2016 Jaguar XJ XJ R-Sport Sedan 4D,19999.0,2016,24123,Jaguar,Pre-Owned,,99.8%,1400,,Active
2022 Audi RS e-tron GT Sedan 4D,49999.0,2022,14286,Audi,Pre-Owned,,99.8%,1400,,Active
2006 Audi A4 2.0T Quattro AWD Salvage Repairable Damaged,2495.0,2006,136247,Audi,Pre-Owned,,100%,1100,,Active
2018 Toyota Avalon Limited,17450.0,2018,116746,Toyota,Pre-Owned,,0%,0,,Active
2018 Honda Civic LX Sedan 4D,12995.0,2018,90236,Honda,Pre-Owned,,100%,1600,,Active
New Listing2024 Kia Forte LXS,17995.0,2024,24499,Kia,Pre-Owned,,100%,649,,Active
2019 Toyota Yaris Sedan L,6900.0,2019,138220,Toyota,Pre-Owned,,100%,1200,,Active
2022 WRX Sedan Only 21K 2.4L 6 Speed Manual Lowered 18S,17995.0,2022,21649,Subaru,Pre-Owned,,100%,1000,,Active
2008 Sonata GLS 4DR SEDAN,3995.0,2008,177900,Hyundai,Pre-Owned,,100%,1600,,Active
2015 BMW 3 Series 335i xDrive Sport Premium M Pkg Leather GPS Moon,14995.0,2015,100806,BMW,Pre-Owned,,100%,1000,,Active
2012 Honda Accord SE,4800.0,2012,213870,Honda,Pre-Owned,,100%,1200,,Active
2018 Hyundai Accent SE,6999.0,2018,124273,Hyundai,Pre-Owned,,0%,0,,Active
2016 Audi A8 3.0 quattro TDI AWD 4dr Sedan,19999.0,2016,92555,Audi,Pre-Owned,,100%,638,,Sold
2019 Toyota Camry,8900.0,2019,39878,Toyota,Pre-Owned,,90.9%,12500,,Active
2013 Hyundai Sonata SE,4200.0,2013,170018,Hyundai,Pre-Owned,,100%,1200,,Active
2016 Dodge Dart SXT,3400.0,2016,127231,Dodge,Pre-Owned,,100%,1200,,Active
2005 Chevrolet Malibu LS 4dr Sedan,7495.0,2005,45599,Chevrolet,Pre-Owned,,99.3%,1100,,Active
1999 BMW 3-Series I AUTOMATIC,4900.0,1999,102592,BMW,Pre-Owned,,100%,1200,,Active
2015 BMW 335i 335i Sedan 4D,17985.0,2015,87388,BMW,Pre-Owned,,100%,646,,Active
New Listing2021 Honda Accord Sport,19495.0,2021,97710,Honda,Pre-Owned,,100%,468,,Active
2026 Toyota Camry XLE,41628.0,2026,0,Toyota,Brand New,,97.4%,304,,Active
2016 Mazda 6 i Touring,9999.0,2016,106413,Mazda,Pre-Owned,,0%,0,,Active
2007 BMW 328i 328i,5499.0,2007,0,BMW,Pre-Owned,,0%,0,,Active
2015 Mercedes-Benz S-Class S 63 AMG® 4MATIC® 4dr Sedan Stock # 171031,39900.0,2015,57650,Mercedes-Benz,Pre-Owned,,100%,317,,Active
2024 Mercedes-Benz C-Class C 300 4dr Sedan,37888.0,2024,17991,Mercedes-Benz,Pre-Owned,,100%,792,,Active
New Listing2018 INFINITI Q50 3.0t LUXE,20595.0,2018,0,Infiniti,Pre-Owned,,100%,703,,Active
2024 Toyota Camry SE Nightshade,25500.0,2024,16492,Toyota,Pre-Owned,,100%,649,,Active
2022 Toyota Avalon XLE,19999.0,2022,112451,Toyota,Pre-Owned,,0%,0,,Active
2019 Nissan Altima 2.5 SV Sedan AWD Moon Roof Backup cam Newer Tires,12495.0,2019,110822,Nissan,Pre-Owned,,100%,1000,,Active
New Listing2008 Lexus LS460 460,10999.0,2008,123133,Lexus,Pre-Owned,,0%,0,,Active
2014 Mercedes-Benz C300 C 300 Luxury,11900.0,2014,58331,Mercedes-Benz,Pre-Owned,,0%,0,,Active
New Listing2015 BMW 328i 328i 4dr Sedan SULEV,9890.0,2015,91262,BMW,Pre-Owned,,0%,0,,Active
2003 Mercury Marauder,33000.0,2003,16220,Mercury,Pre-Owned,,98.8%,629,,Active
2018 NISSAN Sentra NISMO,9999.0,2018,50691,Nissan,Pre-Owned,,100%,915,,Active
2012 Mercedes-Benz S550 S 550,10499.0,2012,95984,Mercedes-Benz,Pre-Owned,,0%,0,,Active
2010 Volkswagen Passat Komfort 4dr Sedan,7995.0,2010,58881,Volkswagen,Pre-Owned,,100%,638,,Sold
New Listing2015 Hyundai Sonata SE,5900.0,2015,119738,Hyundai,Pre-Owned,,100%,1200,,Active
2005 Cadillac DeVille DTS 4dr Sedan,7995.0,2005,50647,Cadillac,Pre-Owned,,99.3%,1100,,Active
2016 Audi A4 Premium,8990.0,2016,94281,Audi,Pre-Owned,,0%,0,,Active
New Listing2021 Hyundai Sonata SEL,23500.0,2021,32661,Hyundai,Pre-Owned,,0%,0,,Active
2016 Audi A6 Premium Plus,9950.0,2016,125186,Audi,Pre-Owned,,100%,468,,Active
New Listing2025 Honda Accord Sport,33350.0,2025,0,Honda,Brand New,,97.4%,304,,Active
New Listing2023 Toyota Camry SE,25488.0,2023,44141,Toyota,Pre-Owned,,0%,141,,Active
New Listing2026 Hyundai Elantra N,38595.0,2026,2,Hyundai,Brand New,,97.4%,304,,Active
2025 Toyota Camry LE,24995.0,2025,22443,Toyota,Pre-Owned,,100%,649,,Active
1972 Mercury Grand Marquis,15500.0,1972,20824,Mercury,Pre-Owned,,98.8%,629,,Active
2016 Audi A3 1.8T Premium,9900.0,2016,98961,Audi,Pre-Owned,,0%,0,,Active
2015 BMW 5-Series M Sport/ Premium Pkg $65K MSRP,17495.0,2015,61653,BMW,Pre-Owned,,100%,3800,,Active
New Listing2020 Nissan Versa SV 4dr Sedan,10999.0,2020,113688,Nissan,Pre-Owned,,0%,0,,Active
"2020 Dodge Charger AWD 5.7L V8 HEMI - Red/Blue Visor and LED Lights,",25795.0,2020,54317,Dodge,Pre-Owned,,100%,123,,Active
2006 Mazda 6 i Sport,5995.0,2006,82274,Mazda,Pre-Owned,,0%,0,,Active
2014 Volkswagen Jetta Gli Automatic CALIFORNIA CAR,11994.0,2014,90856,Volkswagen,Pre-Owned,,100%,2000,,Active
New Listing2017 Chevrolet Malibu Premier,13995.0,2017,55432,Chevrolet,Pre-Owned,,0%,0,,Active
2010 Acura TSX 5-speed AT,9195.0,2010,74443,Acura,Pre-Owned,,100%,26,,Active
